Latitude ,Longitude ,desirability ,connectedness ,population (rough)
41.94742799746875,-87.65362593077104,0.8,0.6,0.636
41.84690144087428,-87.64813110426746,0.6,0.6,0.545
41.79988782039872,-87.72444964277845,0.5,0.5,0.500
41.966146895889715,-87.70165573251133,0.5,0.5,0.500
42.02761184862187,-87.67832941601363,0.5,0.4,0.409
41.97798399254405,-87.65866841969589,0.7,0.6,0.636
41.94381225617526,-87.66360955994172,0.7,0.5,0.591
41.80209158434365,-87.61850159987594,0.5,0.5,0.500
42.0731527622841,-87.69072951855928,0.4,0.4,0.364
41.9473601024952,-87.71909930215281,0.5,0.5,0.500
41.887292784706375,-87.77413525552275,0.4,0.4,0.409
41.80920883501687,-87.61882612858349,0.5,0.5,0.500
41.97887673887917,-87.90184840013661,1.0,0.8,0.136
41.831678021663535,-87.62588147448886,0.6,0.6,0.545
41.95452313953493,-87.67495574333226,0.6,0.5,0.545
41.96175171130978,-87.67516539063618,0.6,0.5,0.545
41.97063413812226,-87.76089227927595,0.6,0.7,0.455
41.93273150100663,-87.65313085718888,0.7,0.6,0.636
41.88070346119076,-87.62937770045221,1.0,0.9,0.909
41.887389014441396,-87.76564950550599,0.4,0.4,0.409
41.853205796014315,-87.63096782627767,0.7,0.6,0.591
41.92972804225143,-87.7085413860205,0.7,0.6,0.591
41.96625004821776,-87.68850260590037,0.6,0.5,0.545
41.88316442656523,-87.6294400596467,1.0,0.9,0.909
41.884966194456915,-87.6768857202498,0.6,0.5,0.545
41.936032602681166,-87.65326645004653,0.7,0.6,0.636
42.02624389455922,-87.74722101369109,0.4,0.4,0.364
41.8755162091606,-87.64964223079026,0.8,0.7,0.591
41.85399195494557,-87.71488026411758,0.4,0.4,0.409
41.83935587879333,-87.66531166332861,0.5,0.5,0.500
41.90974379246453,-87.67743665449984,0.7,0.6,0.591
42.05828247066971,-87.68333688171246,0.5,0.4,0.409
41.87425731129019,-87.81731777906768,0.4,0.5,0.364
41.88421953162615,-87.69623421620008,0.5,0.5,0.500
41.722375984242476,-87.62441474538349,0.5,0.6,0.545
41.910409180297236,-87.63930216454519,0.8,0.6,0.591
41.87563542876877,-87.67394587971816,0.7,0.6,0.545
41.829560088047614,-87.68058736862578,0.5,0.5,0.500
41.879510219372655,-87.62609789982032,1.0,0.9,0.909
41.885311395579535,-87.6669509366128,0.7,0.6,0.591
41.854396837500744,-87.68517922105977,0.5,0.5,0.500
41.96913894081545,-87.65849296173627,0.7,0.6,0.636
41.851773309963825,-87.756692014772,0.4,0.4,0.409
41.95377494743192,-87.65492939219291,0.7,0.6,0.636
41.990259494019185,-87.6590758588342,0.6,0.5,0.545
41.966092607037865,-87.70884379252877,0.5,0.5,0.500
41.87685533507961,-87.63173383435944,0.9,0.8,0.727
41.873490051902145,-87.80696087265021,0.4,0.4,0.364
41.9250513685894,-87.6528658377562,0.8,0.7,0.636
41.87552957397782,-87.68843451104553,0.6,0.6,0.545
41.96641097276443,-87.67863488433056,0.6,0.5,0.545
